Date,Description,Category,Cost,Currency,Alice,Bob,Charlie,Diana
2024-01-02,New Year brunch,Food,450000,VND,150000,-150000,150000,-150000
2024-01-05,Monthly groceries,Groceries,120.00,EUR,60.00,-30.00,-15.00,-15.00
2024-01-08,Office supplies,Shopping,85.50,USD,-28.50,42.75,-28.50,14.25
2024-01-10,Electric bill,Utilities,95.00,EUR,23.75,23.75,-71.25,23.75
2024-01-12,Team lunch,Food,780000,VND,-260000,260000,260000,-260000
2024-01-15,Netflix subscription,Entertainment,17.99,USD,6.00,6.00,-12.00,6.00
2024-01-18,Gas for road trip,Transportation,65.00,EUR,-21.67,-21.67,43.33,-21.67
2024-01-20,Weekend getaway hotel,Travel,320.00,USD,160.00,-106.67,-106.67,53.33
2024-01-22,Coffee shop hopping,Food,1250000,VND,312500,312500,-937500,312500
2024-01-25,Alice paid Bob,Payment,50.00,EUR,-50.00,50.00,0.00,0.00
2024-01-28,Spa day,Health,180.00,USD,-45.00,45.00,-45.00,45.00
2024-02-01,February rent share,Rent,850.00,EUR,-283.33,283.33,283.33,-283.33
2024-02-03,Super Bowl party,Entertainment,2500000,VND,625000,625000,-1875000,625000
2024-02-05,Dinner at steakhouse,Food,245.00,USD,61.25,61.25,61.25,-183.75
2024-02-08,Internet bill,Utilities,45.00,EUR,15.00,-30.00,15.00,0.00
2024-02-10,Valentine gifts shopping,Shopping,3200000,VND,-1066667,1600000,-1066667,533334
2024-02-12,Uber rides,Transportation,38.50,USD,-12.83,-12.83,25.67,-12.83
2024-02-14,Valentine dinner,Food,380.00,EUR,95.00,-285.00,95.00,95.00
2024-02-15,Diana paid Charlie,Payment,100.00,USD,0.00,0.00,100.00,-100.00
2024-02-18,Grocery run,Groceries,92.30,EUR,-42.69,-12.34,-37.27,0.00
2024-02-20,Movie night,Entertainment,1800000,VND,-600000,-600000,600000,600000
2024-02-22,Karaoke night,Entertainment,156.00,USD,52.00,-104.00,52.00,0.00
2024-02-25,Water bill,Utilities,35.00,EUR,-11.67,11.67,11.67,-11.67
2024-02-28,End of month dinner,Food,4500000,VND,1125000,1125000,1125000,-3375000
2024-03-01,March rent share,Rent,850.00,EUR,283.33,283.33,-567.67,0.00
2024-03-03,Birthday party supplies,Entertainment,125.00,USD,-41.67,-41.67,83.33,-41.67
2024-03-05,Gym membership,Health,89.00,EUR,22.25,22.25,22.25,-66.75
2024-03-08,Women's Day dinner,Food,2800000,VND,700000,-2100000,700000,700000
2024-03-10,Charlie paid Alice,Payment,200.00,EUR,200.00,0.00,-200.00,0.00
2024-03-12,Train tickets,Transportation,145.00,USD,36.25,36.25,-108.75,36.25
2024-03-15,Peak shopping day,Shopping,520.00,EUR,130.00,130.00,-390.00,130.00
2024-03-15,Electronics store,Shopping,8500000,VND,2125000,2125000,-6375000,2125000
2024-03-15,Fashion outlet,Shopping,285.00,USD,-95.00,142.50,142.50,-190.00
2024-03-18,Streaming services,Entertainment,24.99,EUR,8.33,-16.66,8.33,0.00
2024-03-20,Weekly groceries,Groceries,1450000,VND,362500,362500,362500,-1087500
2024-03-22,Brunch with friends,Food,175.00,USD,43.75,43.75,-131.25,43.75
2024-03-25,Electric bill March,Utilities,108.00,EUR,27.00,27.00,27.00,-81.00
2024-03-28,Bob paid Diana,Payment,75.00,USD,0.00,-75.00,0.00,75.00
2024-03-30,Road trip gas,Transportation,85.00,EUR,-28.33,28.33,28.33,-28.33
2024-04-01,April rent share,Rent,850.00,EUR,283.33,-567.67,283.33,0.00
2024-04-05,Spring cleaning supplies,Shopping,2200000,VND,-733333,733333,733333,-733333
2024-04-08,Thai restaurant,Food,165.00,USD,41.25,41.25,41.25,-123.75
2024-04-10,Concert tickets,Entertainment,280.00,EUR,70.00,70.00,-210.00,70.00
2024-04-12,Easter brunch,Food,3600000,VND,900000,900000,-2700000,900000
2024-04-15,Tax day celebration,Food,95.00,USD,-31.67,-31.67,63.33,-31.67
2024-04-18,Alice paid Charlie,Payment,150.00,EUR,-150.00,0.00,150.00,0.00
2024-04-20,Peak weekend getaway,Travel,450.00,USD,112.50,112.50,112.50,-337.50
2024-04-20,Resort activities,Entertainment,6800000,VND,1700000,-5100000,1700000,1700000
2024-04-20,Beach dinner,Food,185.00,EUR,46.25,46.25,46.25,-138.75
2024-04-22,Gas return trip,Transportation,78.00,EUR,19.50,19.50,-58.50,19.50
2024-04-25,Internet bill April,Utilities,45.00,EUR,-15.00,15.00,15.00,-15.00
2024-04-28,Grocery shopping,Groceries,138.50,USD,34.63,34.63,34.63,-103.88
2024-04-30,April farewell dinner,Food,4200000,VND,1050000,1050000,-3150000,1050000
2024-05-01,May Day picnic,Food,89.00,EUR,22.25,22.25,22.25,-66.75
2024-05-05,Cinco de Mayo party,Entertainment,225.00,USD,56.25,-168.75,56.25,56.25
2024-05-08,Diana paid Bob,Payment,80.00,EUR,0.00,80.00,0.00,-80.00
2024-05-10,Mother's Day gifts,Shopping,3500000,VND,875000,875000,875000,-2625000
2024-05-12,Mother's Day dinner,Food,320.00,USD,80.00,80.00,80.00,-240.00
2024-05-15,Peak expense day,Shopping,680.00,EUR,-226.67,226.67,226.67,-226.67
2024-05-15,Tech gadgets,Shopping,12500000,VND,3125000,3125000,3125000,-9375000
2024-05-15,Gaming accessories,Entertainment,195.00,USD,48.75,48.75,-146.25,48.75
2024-05-18,Massage therapy,Health,120.00,EUR,30.00,30.00,-90.00,30.00
2024-05-20,Weekly groceries,Groceries,1680000,VND,-560000,560000,560000,-560000
2024-05-22,Japanese restaurant,Food,210.00,USD,-70.00,70.00,70.00,-70.00
2024-05-25,Electric bill May,Utilities,125.00,EUR,31.25,31.25,31.25,-93.75
2024-05-28,Charlie paid Diana,Payment,120.00,USD,0.00,0.00,-120.00,120.00
2024-05-30,Memorial weekend BBQ,Food,285.00,EUR,71.25,71.25,71.25,-213.75
2024-06-01,June rent share,Rent,850.00,EUR,0.00,283.33,283.33,-566.67
2024-06-05,Summer clothes shopping,Shopping,5200000,VND,1300000,-3900000,1300000,1300000
2024-06-08,Pool party,Entertainment,145.00,USD,36.25,36.25,36.25,-108.75
2024-06-10,Health checkup,Health,280.00,EUR,70.00,70.00,-210.00,70.00
2024-06-29,Bob paid Alice,Payment,95.00,EUR,95.00,-95.00,0.00,0.00
2024-06-15,Father's Day gifts,Shopping,195.00,USD,48.75,48.75,-146.25,48.75
2024-06-18,Air conditioning repair,Utilities,3800000,VND,-1266667,1266667,1266667,-1266667
2024-06-20,Peak summer dinner,Food,420.00,EUR,105.00,105.00,105.00,-315.00
2024-06-20,Rooftop bar,Entertainment,8900000,VND,2225000,2225000,-6675000,2225000
2024-06-20,Late night snacks,Food,85.00,USD,21.25,21.25,21.25,-63.75
2024-06-22,Weekend trip train,Transportation,165.00,EUR,-55.00,55.00,55.00,-55.00
2024-06-25,Grocery run,Groceries,98.50,USD,55.03,0.00,-42.69,-12.34
2024-06-28,Internet bill June,Utilities,45.00,EUR,15.00,15.00,-30.00,0.00
2024-06-30,End of Q2 celebration,Food,5500000,VND,1375000,1375000,1375000,-4125000
